Code;Sample Point;Type;Territory;Municipality;XETRS89;YETRS89;ZETRS89;Water range;Water range type;Basin;Section;Subgroup
SA03;Sondeo Sobrón-1 (Foronómico);SONDEOS;Araba/Álava;Lantarón;490666;4734457;;Vaderejo-Sobron;No aplicable;Ebro;Zona drenante a Embalse de Sobrón.;Aguas (Hidrología)
SA04;Manantial Nanclares (Foronómico);MANANTIALES;Araba/Álava;Iruña Oka/Iruña de Oca;515551;4740299;0;Calizas de Subijana;No aplicable;Zadorra;Zadorra 10;Aguas (Hidrología)
SA05;Manantial Zarpia (Foronómico);MANANTIALES;Araba/Álava;Harana/Valle de Arana;557469;4737171;0;Sierra de Urbasa;No aplicable;Larrondoa;Larrondoa 1;Aguas (Hidrología)
SA06;Manantial Olalde (Foronómico);MANANTIALES;Bizkaia;Gautegiz Arteaga;528477;4799450;0;Ereñozar;No aplicable;Oka;Oma 1;Aguas (Hidrología)
SA07;Arroyo Arria-Patala;RÍOS;Bizkaia;Berriz;532153;4782351;0;Oiz;No aplicable;Sarria - Aquelcorta;Sarria 2;Aguas (Hidrología)
SA08;Manantial Urbeltza (Foronómico);MANANTIALES;Gipuzkoa;Elduain;580794;4776300;0;Gatzume-Tolosa;No aplicable;Zelai;Zelai 1;Aguas (Hidrología)
SA10;Manantial Salubita (Foronómico);MANANTIALES;Gipuzkoa;Tolosa;572911;4774853;0;Gatzume-Tolosa;No aplicable;Oria;Salubita 1;Aguas (Hidrología)
SA11;Troya (Rampa Norte);GALERÍAS;Gipuzkoa;Gabiria;557568;4765052;0;Troya;No aplicable;Estanda;Estanda 3;Aguas (Hidrología)
SA12;Manantial Zazpiturrieta (Foronómico);MANANTIALES;Gipuzkoa;Amezketa;574520;4765916;0;Sinclinorio de Bizkaia;No aplicable;Amezketa;Amezketa 2;Aguas (Hidrología)
SA14;Manantial Iturriotz (Foronómico);MANANTIALES;Bizkaia;Trucios-Turtzioz;479594;4791142;0;Castro Urdiales;No aplicable;Aguera;Aguera 3;Aguas (Hidrología)
SA15;Manantial Lanestosa (Foronómico);MANANTIALES;Bizkaia;Karrantza Harana/Valle de Carranza;469396;4788386;0;Alisa Ramales;No aplicable;Karrantza;Karrantza 4;Aguas (Hidrología)
SA16;Manantial Orue (Foronómico);MANANTIALES;Bizkaia;Igorre;520069;4779175;0;Aramotz;No aplicable;Arratia;Indusi 2;Aguas (Hidrología)
SA17;Manantial Arditurri (Foronómico);MANANTIALES;Gipuzkoa;Oiartzun;596572;4793017;0;Macizos paleozoicos;No aplicable;Oiartzun;Arditurri 1;Aguas (Hidrología)
SA18;Manantial Artzu (Foronómico);MANANTIALES;Gipuzkoa;Hondarribia;596057;4804368;0;Jaizkibel;No aplicable;Bidasoa intracomunitario;Bidasoa drenaje costa;Aguas (Hidrología)
SA20;Manantial Aldabide (Foronómico);MANANTIALES;Bizkaia;Orozko;514407;4769870;0;Itxina;No aplicable;Altube;Arnauri 1;Aguas (Hidrología)
SC01;Manantial Peñacerrada (Calidad);MANANTIALES;Araba/Álava;Peñacerrada-Urizaharra;523566;4721541;0;Sierra de Cantabria;No aplicable;Inglares;Inglares 4;Aguas (Fisicoquímica)
SC02;Manantial El Soto (Calidad);MANANTIALES;Araba/Álava;Bernedo;539556;4719326;0;Sierra de Cantabria;No aplicable;Ega;Ega 3;Aguas (Fisicoquímica)
SC03;Sondeo Leza-A (Calidad);SONDEOS;Araba/Álava;Laguardia;529428;4715488;0;Sierra de Cantabria;No aplicable;Ebro;Riomayor 1;Aguas (Fisicoquímica)
SC04;Sondeo Orbiso-2 (Calidad);SONDEOS;Araba/Álava;Campezo/Kanpezu;555424;4724278;0;Sierra de Lokiz;No aplicable;Ega;Ega 8;Aguas (Fisicoquímica)
SC05;Sondeo Sobrón-1;SONDEOS;Araba/Álava;Lantarón;490666;4734457;0;Vaderejo-Sobron;No aplicable;Ebro;Zona drenante a Embalse de Sobrón.;Aguas (Fisicoquímica)
SC06;Manantial Araia;MANANTIALES;Araba/Álava;Asparrena;556474;4750856;0;Sierra de Aizkorri;No aplicable;Arakil;Zirauntza 1;Aguas (Fisicoquímica)
SC07;Manantial Nanclares (Calidad);MANANTIALES;Araba/Álava;Iruña Oka/Iruña de Oca;515382;4740577;0;Calizas de Subijana;No aplicable;Zadorra;Zadorra 10;Aguas (Fisicoquímica)
SC08;Sondeo Subijana;SONDEOS;Araba/Álava;Erriberagoitia/Ribera Alta;509006;4741046;0;Calizas de Subijana;No aplicable;Baia;Baias 9;Aguas (Fisicoquímica)
SC09;Manantial Zarpia (Calidad);MANANTIALES;Araba/Álava;Harana/Valle de Arana;555913;4738071;0;Sierra de Urbasa;No aplicable;Larrondoa;Larrondoa 1;Aguas (Fisicoquímica)
